Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Australia,Netherlands,1967,?,1,,LW-02,air search radar,1,,1968,New,For modernization of 1 Majestic (Melbourne) aircraft carrier,7,7,7
Australia,Netherlands,1969,?,2,,LW-02,air search radar,2,?,1971; 1973,New,For modernization of 2 Daring (Vampire) destroyers,7,14,14
Australia,Netherlands,1963,?,2,,WM-20,fire control radar,2,,1969,New,For 2 Leander (River) frigates from UK; WM-22 version,6,12,12
Australia,Netherlands,1969,?,4,,WM-20,fire control radar,4,?,1971; 1973,New,For modernization of 2 Daring (Vampire) destroyers; WM-22 version,6,24,24
Australia,Spain,2020,?,3,,Lanza-MRR,air search radar,3,,2023,New,Part of 'Air-5341 Phase-1' project,10,30,30
Australia,Sweden,1991,?,8,,CEROS-200,fire control radar,8,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006,New,For 8 MEKO-200 (Anzac) frigates from FRG; incl for use with Sea Sparrow SAM,2.5,20,20
Australia,Sweden,2009,?,2,,Giraffe AMB,air search radar,2,,2014; 2015,New,For 2 BPE (Canberra) AALS from Spain,7.5,15,15
Australia,Sweden,2010,,3,,Giraffe AMB,air search radar,3,,2012; 2013,New,SEK550 m ($86 m) 'Land-19 Phase-7A' deal (incl 1 on lease from 2011 until delivery of 3 ordered); for use in Afghanistan,7.5,22.5,22.5
Australia,Sweden,1991,,8,,Sea Giraffe-150,air search radar,8,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006,New,For 8 MEKO-200 (Anzac) frigates from FRG,5,40,40
Australia,United Kingdom,1977,,10,,Blindfire,fire control radar,10,?,1979; 1980; 1981,New,Deal worth $20 m; for use with Rapier SAM system,2.5,25,25
Australia,United Kingdom,1973,?,5,?,Cymbeline,artillery locating radar,5,?,1974,New,,2.38,11.9,11.9
Australia,United Kingdom,1999,,61,,MSTAR,ground surv radar,61,?,2002; 2003; 2004; 2005,New,$32 m 'Project NINOX'; 55 assembled in Australia; Australian designation AMSTAR,0.5,30.5,30.5
Australia,United Kingdom,2022,?,6,,Unidentified sonar,SONAR,0,,,New,For modernization of 6 Collins submarines,0,0,0
Australia,United States,2000,,71,,APG-73,combat aircraft radar,71,?,2002; 2003,New,AUD250 m deal; for modernization of 71 F/A-18 FGA aircraft,2,142,142
Australia,United States,2022,,16,,APG-78 Longbow,combat heli radar,0,,,New,For AH-64E combat helicopters,3,48,0
Australia,United States,2007,?,24,?,ASQ-228 ATFLIR,aircraft EO system,24,?,2010; 2011,New,For F/A-18E combat aircraft,1.1,26.4,26.4
Australia,United States,1980,,12,?,AVQ-26 Pave Tack,aircraft EO system,12,?,1985,New,For F-111C combat aircraft,1,12,12
Australia,United States,1996,,20,?,AVQ-26 Pave Tack,aircraft EO system,20,?,1997,Second hand,Second-hand; for F-111C and F-111G combat aircraft,0.4,8,8
Australia,United States,2003,,5,,PSTAR-ER,air search radar,5,?,2004; 2005; 2006,New,Part of AUD110 m ($73 m) 'Project Land-19 Phase-6'; for use with RBS-70 MANPADS,0.75,3.75,3.75
Australia,United States,2009,,3,,SPQ-9,fire control radar,3,,2017; 2018; 2020,New,For 3 Hobart destroyers from Spain,3.5,10.5,10.5
Australia,United States,1993,,8,,SPS-49,air search radar,8,,1996; 1998; 2001; 2002; 2003; 2004; 2005; 2006,New,For 8 MEKO-200 (Anzac) frigates from FRG; AN/SPS-49V(8) version,5,40,40
Australia,United States,2008,,3,,SPY-1F,air search radar,3,,2017; 2018; 2020,New,For 3 Hobart destroyers from Spain,20,60,60
Australia,United States,1982,,7,,TPQ-36 Firefinder,artillery locating radar,7,?,1986; 1987,New,Incl production of components on Australia,3,21,21
Australia,United States,1984,?,6,,TPS-25,ground surv radar,6,?,1985,New,,0.95,5.7,5.7
Australia,United States,1965,?,3,?,TPS-43,air search radar,3,?,1967; 1968; 1969,New,Part of 'Hub Cap' air surveillance network,9,27,27
Australia,United States,1977,?,3,,TPS-43,air search radar,3,?,1982,New,For 'Recap' improvement programme of 'Hub Cap' air surveillance network,9,27,27
Australia,United States,1998,,4,,TPS-77,air search radar,4,?,2004; 2005,New,AUD125-150 m ($68-90 m) 'Project Air-5375',11,44,44
Australia,United States,2007,?,3,,Type-2150,ASW sonar,3,,2017; 2018; 2020,New,For 3 Hobart destroyers from Spain,30,90,90
Azerbaijan,Israel,2014,,2,?,EL/M-2288 AD-STAR,air search radar,2,?,2016,New,,13,26,26
Azerbaijan,Spain,2018,?,1,?,Lanza-LTR,air search radar,1,?,2019,New,Lanza-LTR-25 version,13,13,13
Azerbaijan,Ukraine,2012,?,1,?,80K6M,air search radar,1,?,2013,New,,13,13,13
Bahrain,Italy,2015,,6,,Orion RTN-25X,fire control radar,6,?,2018; 2019; 2021; 2022,New,NA-25X version; for modernization of 4 TNC-45 (El Fateh) FAC and 2 MGB-62 (Al Manama) corvettes,2.5,15,15
Bahrain,Italy,2015,,6,,SPS-732,sea search radar,6,?,2018; 2019; 2021; 2022,New,For modernization of 4 TNC-45 (El Fateh) FAC and 2 MGB-62 (Al Manama) corvettes,2,12,12
Bahrain,Sweden,1984,?,4,,9LV,fire control radar,4,,1986; 1987; 1988; 1989,New,For 2 MGB-62 (Al Manama) corvettes and 2 TNC-45 (El Fateh) FAC from FRG; 9LV-331 version,2.5,10,10
Bahrain,Sweden,1979,?,2,,9LV,fire control radar,2,,1984,New,For 2 TNC-45 (El Fateh) FAC from FRG; 9LV-226 version,2.5,5,5
Bahrain,Sweden,1985,,4,,Giraffe-75,air search radar,4,,1986; 1987; 1988; 1989,New,For 2 MGB-62 (Al Manama) corvettes and 2 TNC-45 (El Fateh) FAC from FRG; Sea Giraffe-50HC version,4,16,16
Bahrain,Sweden,1979,?,2,,Giraffe-75,air search radar,2,,1984,New,Sea Giraffe-50HC version; for 2 TNC-45 (El Fateh) FAC from Germany,4,8,8
Bahrain,Switzerland,1985,?,6,,Skyguard,fire control radar,6,?,1986,New,For use with GDF AA guns,5,30,30
Bahrain,United Kingdom,1984,?,2,?,Watchman,air search radar,2,?,1985,New,,5,10,10
Bahrain,United States,1993,?,3,,AAQ-13 LANTIRN,combat aircraft radar,3,?,1996,New,AAQ-19 Sharpshooter version,1,3,3
Bahrain,United States,1993,?,3,?,AAQ-14 LANTIRN,aircraft EO system,3,?,1996,New,AAQ-19 Sharpshooter version,1,3,3
Bahrain,United States,2019,,6,,DB-110,aircraft recce system,0,,,New,For F-16V combat aircraft,4,24,0
Bahrain,United States,2017,,16,?,AAQ-33 Sniper ATP,aircraft EO system,3,?,2023,New,For F-16V combat aircraft,1,16,3
